ISO3,Country,EGDI,OSI,TII,HCI,Penetration_Pct,Year_Used,p,T_adj_EGDI,Phi_EGDI,T_adj_OSI,Phi_OSI,R_facade,I_egov,Signed_Div
TCD,Chad,0.1785,0.2674,0.1195,0.1488,12.03590012,2023,0.12035900120000001,0.0214840817142,0.1570159182858,0.032183996920880004,0.23521600307912002,8.3084770563882,0.14790000000000003,0.14790000000000003
LAO,Lao People's Democratic Republic,0.4404,0.3265,0.5338,0.4608,64.39800262,2023,0.6439800261999999,0.28360880353848,0.15679119646152004,0.2102594785543,0.11624052144570002,1.5528431928251007,0.20730000000000004,-0.20730000000000004
MUS,Mauritius,0.7506,0.5903,0.9159,0.7456,79.5,2023,0.795,0.5967270000000001,0.15387299999999998,0.46928850000000005,0.12101149999999998,1.2578616352201257,0.3256,-0.3256
BOL,Bolivia,0.6651,0.5987,0.7089,0.6877,77.30039978,2023,0.7730039978000001,0.51412495893678,0.15097504106321996,0.46279749348286003,0.13590250651713998,1.2936543702827406,0.11019999999999996,-0.11019999999999996
CUB,Cuba,0.4921,0.2298,0.5318,0.7148,69.55580139,2023,0.6955580138999999,0.34228409864018994,0.14981590135981002,0.15983923159421998,0.06996076840578001,1.4376945991794288,0.30200000000000005,-0.30200000000000005
HRV,Croatia,0.8818,0.8735,0.918,0.8538,83.24117599,2023,0.8324117599,0.73402068987982,0.14777931012017997,0.7271116722726501,0.14638832772734997,1.2013285349550238,0.044499999999999984,-0.044499999999999984
MEX,Mexico,0.785,0.7637,0.831,0.7603,81.18318755,2023,0.8118318755,0.6372880222675,0.1477119777325,0.61999600331935,0.14370399668064998,1.231782133935193,0.06729999999999992,-0.06729999999999992
KNA,Saint Kitts and Nevis,0.6305,0.3039,0.8675,0.7202,76.58950043,2023,0.7658950043,0.48289680021114995,0.14760319978884998,0.23275549180677002,0.07114450819323,1.3056619959467726,0.5636000000000001,-0.5636000000000001
BLZ,Belize,0.4872,0.4055,0.5292,0.527,70.18720245,2023,0.7018720245,0.3419520503364,0.14524794966360002,0.28460910593475003,0.12089089406525003,1.4247611602875618,0.12369999999999998,-0.12369999999999998
VCT,Saint Vincent and the Grenadines,0.5876,0.3906,0.6768,0.6956,75.53679657,2023,0.7553679657000001,0.44385421664532004,0.14374578335467994,0.29504672740242005,0.09555327259757997,1.3238581001688352,0.28619999999999995,-0.28619999999999995
DZA,Algeria,0.5956,0.332,0.8129,0.6418,76.19760132,2023,0.7619760132000001,0.45383291346192006,0.14176708653807996,0.2529760363824,0.07902396361759997,1.3123772699883198,0.48089999999999994,-0.48089999999999994
GEO,Georgia (Country),0.7792,0.5652,0.9071,0.8654,81.88425624,2023,0.8188425624,0.63804212462208,0.14115787537792002,0.46280981626848,0.10239018373152002,1.2212359810279447,0.3419,-0.3419
JPN,Japan,0.9351,0.9427,0.9509,0.9117,85.00990295,2023,0.8500990294999999,0.79492760248545,0.14017239751455007,0.8013883551096499,0.14131164489035006,1.1763335391503351,0.008199999999999985,-0.008199999999999985
MNG,Mongolia,0.8457,0.8222,0.9374,0.7775,83.74320221,2023,0.8374320221000001,0.7082162610899702,0.1374837389100299,0.6885366085706202,0.1336633914293799,1.194126775200611,0.11519999999999997,-0.11519999999999997
