ISO3,Country,M49_Region,M49_Subregion,WB_Region,U,Penetration_Year,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,EGDI,OSI,TII,p,F_egov,I_egov,I_health,I_education,I_income
TTO,Trinidad and Tobago,Americas,Latin America and the Caribbean,Latin America & Caribbean ,81.9681,2023,26.8942,2023,0.2232,2023,0.8197,0.5198,0.0035,0.6973,0.5999,0.7745,0.8197,0.1803,0.1746,0.8417,0.7830,0.8180
TUR,Türkiye,Asia,Western Asia,Europe & Central Asia,85.9607,2023,22.4592,2023,4.5183,2023,0.8596,0.4341,0.0706,0.8913,0.9225,0.8322,0.8596,0.1404,0.0903,0.8996,0.7937,0.8752
PRT,Portugal,Europe,Southern Europe,Europe & Central Asia,85.7901,2023,44.1107,2023,6.7108,2023,0.8579,0.8525,0.1049,0.8415,0.7878,0.8979,0.8579,0.1421,0.1101,0.9575,0.7865,0.8862
POL,Poland,Europe,Eastern Europe,Europe & Central Asia,86.4147,2023,24.5262,2023,12.1223,2023,0.8641,0.4740,0.1895,0.8648,0.8037,0.9603,0.8641,0.1359,0.1566,0.8769,0.8815,0.8855
CRI,Costa Rica,Americas,Latin America and the Caribbean,Latin America & Caribbean ,85.3951,2023,22.5231,2023,24.1778,2023,0.8540,0.4353,0.3779,0.8009,0.7217,0.8933,0.8540,0.1460,0.1716,0.8818,0.7405,0.8022
ISR,Israel,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",87.0384,2023,29.4357,2023,34.9378,2023,0.8704,0.5689,0.5461,0.9014,0.8541,0.9763,0.8704,0.1296,0.1222,0.9631,0.8656,0.9180
CZE,Czech Republic,Europe,Eastern Europe,Europe & Central Asia,85.9940,2023,37.9100,2023,20.3027,2023,0.8599,0.7327,0.3173,0.8239,0.7006,0.9204,0.8599,0.1401,0.2198,0.8943,0.8846,0.9048
FRA,France,Europe,Western Europe,Europe & Central Asia,86.8364,2023,48.6688,2023,22.3835,2023,0.8684,0.9406,0.3499,0.8744,0.8440,0.9228,0.8684,0.1316,0.0788,0.9728,0.8337,0.9306
GUY,Guyana,Americas,Latin America and the Caribbean,Latin America & Caribbean ,79.3553,2023,12.9356,2022,15.7139,2023,0.7936,0.2500,0.2456,0.5443,0.3455,0.6942,0.7936,0.2064,0.3487,0.7075,0.6493,0.8882
ITA,Italy,Europe,Southern Europe,Europe & Central Asia,87.0278,2023,31.8411,2023,9.9837,2023,0.8703,0.6154,0.1560,0.8356,0.7624,0.9017,0.8703,0.1297,0.1393,0.9855,0.8207,0.9204
IRN,Iran (Islamic Republic of),Asia,Southern Asia,"Middle East, North Africa, Afghanistan & Pakistan",83.7105,2023,12.0206,2023,0.8140,2022,0.8371,0.2323,0.0127,0.6564,0.3773,0.8987,0.8371,0.1629,0.5214,0.8393,0.7503,0.7546
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Europe & Central Asia,83.3772,2023,28.4401,2023,4.9671,2023,0.8338,0.5497,0.0776,0.6329,0.5003,0.7763,0.8338,0.1662,0.2760,0.8507,0.7200,0.7719
LTU,Lithuania,Europe,Northern Europe,Europe & Central Asia,88.5029,2023,27.9638,2023,14.4029,2023,0.8850,0.5405,0.2251,0.9110,0.8839,0.9631,0.8850,0.1150,0.0792,0.8353,0.9055,0.8978
MDV,Maldives,Asia,Southern Asia,South Asia,84.5529,2023,18.6293,2023,0.1895,2023,0.8455,0.3601,0.0030,0.6745,0.6220,0.7886,0.8455,0.1545,0.1666,0.9360,0.5970,0.7914
DJI,Djibouti,Africa,Sub-Saharan Africa,"Middle East, North Africa, Afghanistan & Pakistan",64.7587,2023,1.4721,2023,3.2755,2023,0.6476,0.0285,0.0512,0.2911,0.2092,0.3840,0.6476,0.3524,0.1748,0.6594,0.3527,0.5871
SVK,Slovakia,Europe,Eastern Europe,Europe & Central Asia,87.2131,2023,33.1726,2023,9.7185,2023,0.8721,0.6411,0.1519,0.8021,0.7097,0.8985,0.8721,0.1279,0.1888,0.8512,0.8425,0.8721
DMA,Dominica,Americas,Latin America and the Caribbean,Latin America & Caribbean ,81.3365,2023,20.8601,2022,2.8833,2023,0.8134,0.4032,0.0451,0.5445,0.3798,0.6757,0.8134,0.1866,0.2959,0.8151,0.6826,0.7290
LBN,Lebanon,Asia,Western Asia,"Middle East, North Africa, Afghanistan & Pakistan",81.7059,2023,7.2917,2022,4.3024,2023,0.8171,0.1409,0.0672,0.5449,0.4489,0.6425,0.8171,0.1829,0.1936,0.8372,0.6215,0.7271
DOM,Dominican Republic,Americas,Latin America and the Caribbean,Latin America & Caribbean ,86.1269,2023,11.1346,2023,6.0309,2023,0.8613,0.2152,0.0943,0.7013,0.6405,0.7444,0.8613,0.1387,0.1039,0.8334,0.6816,0.7898
SYC,Seychelles,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,86.0013,2023,30.7719,2023,0.0384,2023,0.8600,0.5947,0.0006,0.6773,0.4638,0.8913,0.8600,0.1400,0.4275,0.7960,0.7592,0.8532
ARG,Argentina,Americas,Latin America and the Caribbean,Latin America & Caribbean ,89.2290,2023,25.3581,2023,5.4496,2023,0.8923,0.4901,0.0852,0.8573,0.7965,0.8425,0.8923,0.1077,0.0460,0.8625,0.8715,0.8151
UZB,Uzbekistan,Asia,Central Asia,Europe & Central Asia,89.0136,2023,30.2699,2023,2.8224,2023,0.8901,0.5850,0.0441,0.7999,0.7648,0.8769,0.8901,0.1099,0.1121,0.7950,0.7302,0.6630
THA,Thailand,Asia,South-eastern Asia,East Asia & Pacific,89.5353,2023,14.5089,2023,26.0506,2023,0.8954,0.2804,0.4072,0.8351,0.7611,0.9410,0.8954,0.1046,0.1799,0.9182,0.7273,0.7748
